"linking.linkers.FOXLinker","linking.linkers.TextRazorLinker","linking.linkers.BabelfyLinker","linking.linkers.DBpediaSpotlightLinker","linking.linkers.OpenTapiocaLinker","best index","max. indices","Doc. Content","max. index name"
"0.0","0.0","0.0","0.0","0.0","0","[0, 1, 2, 3, 4]","
Tiger Im April will Tiger Woods Der Blick traurig und die Selbstanalyse schonungslos: Tiger Woods hat seine schlagzeilenträchtigen Verfehlungen noch einmal verurteilt. «Es war ein widerliches Verhalten. Es ist schwer zu glauben, dass ich das war», räumte Woods in einem Interview mit Golf Channel Der Amerikaner stellte sich auch beim Sender ESPN den Fragen - zum ersten Mal seit Bekanntwerden seiner außerehelichen Eskapaden. Er habe mit einer Lüge gelebt, unterstrich die tief gefallene Werbeikone. Er habe nach wochenlanger Therapie einen Menschen gesehen, von dem er nie geglaubt hätte, dass er so sein könnte, betonte Woods. Und dass er das alles seiner Frau Elin Woods brachte aber auch seine Vorfreude auf die Rückkehr in den Golf Woods Er wirkte irgendwie erschöpft. Beim legendären Masters vom 8. bis 11. April in Augusta will der einst weltweit gefeierte Branchenstar aber sein Comeback geben. 1997 hatte er das Turnier im Alter von 21 Jahren und 14 Tagen als jüngster Spieler mit dem größten Vorsprung überhaupt gewonnen, zwei weitere Siege folgten. Und jetzt? «Ich bin ein bisschen nervös, um ehrlich zu sein», sagte Woods Auf die Frage, welche Reaktion er von den Fans bei seiner Rückkehr nach seinem bis dato letzten Turnier am 15. November vergangenen Jahres in Australien erwarte, antwortete er: «Ich weiß es nicht. Ich weiß es nicht.» Jedenfalls habe er das Spiel vermisst, betonte Woods, der sich an seinem Wohnsitz im US-Bundesstaat Florida den Fragen stellte. Es wäre schön, hier und da ein bisschen Applaus zu bekommen, fügte der Golf-Star mit Blick auf seinen Auftritt in Augusta Einer seiner Gegner und engsten Freunde feierte am Sonntag gerade seinen ersten Turniersieg seit 32 Monaten, als die Interviews mit Woods ausgestrahlt wurden. «Wissen Sie was? Morgen wird in den Zeitungen stehen, dass ich ein Golfturnier gewonnen habe, und es interessiert mich nicht wirklich, ob es auf Seite drei steht oder irgendwo in der Ecke, weil der Artikel über ihn (Woods) ist», sagte Jim Furyk Furyk gilt als einer der wichtigsten Fürsprecher von Woods auf der PGA-Tour. «Ich denke, dass es gut für ihn ist, sein Gesicht zu zeigen und von den Menschen gesehen zu werden», meinte Furyk. Die Leute würden sich ihr Urteil bilden, aber so könne Woods Seine Rückkehr hatte Woods vor knapp einer Woche angekündigt. «Beim Masters habe ich mein erstes Major-Turnier gewonnen, ich betrachte dieses Turnier mit großem Respekt. Nach einer langen und notwendigen Spielpause fühle ich mich bereit, meine Saison in Augusta Zwei Wochen nach seinem bis dato letzten Turnier hatte Woods Was nach dem Masters sportlich auf dem Programm steht, konnte der Ausnahmegolfer nicht genau sagen. «Ich weiß nicht, was ich machen werde», so Woods. Seine Therapie wird er auch nach der Rückkehr auf den Golfplatz fortsetzen. «Aber was ich weiß, ist, dass ich ein besserer Mensch werden muss und das beginnt damit, zu weiteren Behandlungen zu gehen», sagte Woods.
","NONE"
"0.0","0.0","0.0","0.0","0.0","0","[0, 1, 2, 3, 4]","Öl-Teppich im Golf von Mexiko Houston (dpa) - Der Öl-Teppich im Golf von Mexiko breitet sich weiter aus. Das Rohöl läuft seit dem Untergang einer Bohrinsel aus. Es bedeckt inzwischen etwa 1500 Quadratkilometer Meeresfläche vor der Küste des US-Bundesstaates Louisiana, berichten Medien. Täglich sollen schätzungsweise 140 Tonnen Öl ins Meer fließen. Starker Wind und hohe Wellen störten die Versuche, eine Umweltkatastrophe zu verhindern. Schiffe, die das Öl aufsaugen sollten, mussten wegen des schweren Seegangs im Hafen bleiben.
","NONE"
"0.0","0.03571428571428571","0.007142857142857143","0.0","0.0","1","[1]"," Nachdem sich Tiger Woods auf unbestimmte Zeit vom Profi-Golf Als Golfer hat er alles erreicht, jetzt will Tiger Woods ein «besserer Ehemann, Vater und Mensch» werden: Tiger Woods Glaubt man jedoch neuesten Gerüchten, könnte dieser Schritt zu spät kommen. Denn wie News of the World berichtet, soll WoodsWoods' Ehefrau Elin Nordegren planen, ihren untreuen Gatten nach einem letzten gemeinsamen Weihnachtsfest zu verlassen. Sie wolle leidglich ihren Kindern, der zweijährigen Sam Alexis und dem zehn Monate alten Charlie Axel, ein letztes Weihnachten mit der Familie gönnen. Laut dem britischen Boulevardblatt The Sun Die offizielle Trennung  wird es sehr bald geben, weiß ein Vertrauter Nordegrens. Ihm zufolge soll die zweifache Mutter Tiger Woods bereits gesagt haben, dass sie ihn nicht mehr sehen wolle. Außerdem hat sie bereits in ihrer früheren Heimat ein Haus erworben. Ein Sprecher sagte, sie habe sich ein Haus auf der vor Stockholm liegenden Insel Faglaro gekauft, die nur per Boot zu erreichen sei. Die Verhandlungen hätten aber schon lange vor der Zeit begonnen, als über Woods Hinderlich für eine mögliche Versöhnung des seit fünf Jahren verheirateten Paares könnten die Spekulationen sein, der Profi-Golfer stehe noch immer mit seiner Geliebten Rachel Uchitel in Kontakt. Diese plauderte in der News of the World ein weiteres intimes Geheimnis aus: Woods Woods Doch nicht nur privat steht die Lage nicht zum Besten, auch beruflich muss Woods die Konsequenzen seines Fehlverhaltens tragen. Nun hat der erste große Sponsor Tiger Woods Die Unternehmensberatung Accenture beendet ihren Werbevertrag mit dem Sportler. Der 33-jährige Woods sei nach den «Umständen der vergangenen zwei Wochen» nicht mehr der «richtige Repräsentant», teilte die Firma mit. Die weltweite Werbung von Accenture war seit sechs Jahren komplett unter dem Motto «Go on, be a Tiger» auf Woods Accenture hatte damit seinen Bekanntheitsgrad weltweit gesteigert, indem es auf WoodsWoods' Markenzeichen als Sportler - Integrität und Leistung auf höchstem Niveau - setzte. In einer Erklärung zum Ende der Werbepartnerschaft wünschte Accenture Woods Werbefachleute erklärten, die Accenture-Werbung sei derart auf Woods Neben Accenture hat einer seiner wichtigsten Werbepartner, der Rasiererhersteller Gillette, seine Werbekampagne mit Woods Der Uhrenhersteller Tag Heuer hingegen steht zu Woods: «Er ist der Beste auf seinem Feld», sagte Sprecherin Mariam Sylla in Genf. Sein Privatleben gehe das Unternehmen nichts an. «Wir werden weiter mit ihm arbeiten», sagte Sylla. Der Hersteller von Luxusuhren wirbt seit 2002 mit Woods Der US-Telefonkonzern ATAT&T sagte auf Anfrage, die Geschäftsbeziehung zu Woods Der 33-jährige Golfstar hat unter anderem auch Werbeverträge mit dem Sportartikelhersteller Nike und dem Energydrink Gatorade. Nike arbeitet seit 1996 mit Woods und ist damit einer seiner ältesten Sponsoren. Das Unternehmen teilte mit, Woods habe Nikes «volle Unterstützung». Gatorade Tiger Woods ist dem Wirtschaftsmagazin Forbes zufolge der am besten verdienende Sportler der Welt. Sein Jahresverdienst wird auf etwa 130 Millionen Dollar (etwa 90 Millionen Euro) geschätzt. Durch seine Turniere und Auftritte sowie die Werbung für Getränke, Uhren, Sportartikel und Computerspiele war er laut Forbes Der Präsident des US-Netzwerksenders CBS Sports and News, Sean McManus, sagte der New York Times, dass WoodsWoods' Entscheidung sich vom Profi-Golf zurückzuziehen, auf Dauer nicht ohne Konsequenzen für den Golfsport bleiben würde. «Natürlich haben wir schon in der Vergangenheit Turniere ohne Tiger Von Australien aus gab derweil der dreimal geschiedene Golfer John Daly zwei Tipps, wie Woods der Klatschpresse den Wind aus den Segeln nehmen könne: «Nicht wegen der Kinder in der Ehe bleiben, nicht wegen des Geldes - nur, wenn man sich liebt.» Und: «Er sollte mit seiner Frau zu (Talkshow-Queen) Oprah Winfrey gehen, alles rauslassen, die Wahrheit erzählen.»
","linking.linkers.TextRazorLinker"
"0.25","0.0","0.0","0.0","0.0","0","[0]","Öl-Desaster: Umweltkatastrophe droht im Golf von Mexiko Washington (dpa) - Im Golf von Mexiko droht eine Umweltzerstörung unbekannten Ausmaßes: Zwei Tage nach einer verwüstenden Explosion ist eine brennende US-Bohrinsel gestern vor der US-Küste gesunken. Die «Deepwater Horizon» verschwand rund 190 Kilometer südlich von New Orleans im US-Bundesstaat Louisiana, in den Fluten. Elf Arbeiter bleiben weiterhin verschollen. Die US-Küstenwache befürchtet, dass bis zu zweieinhalb Millionen Liter Öl in den Golf gelangen könnten.
","linking.linkers.FOXLinker"
"1.0","0.0","0.0","0.0","0.0","0","[0]","Boris Becker sucht den Adrenalin-Kick. Ex-Tennisprofi Boris Becker (43) ist auf der Suche nach dem Adrenalin-Kick - auch beim Poker. Wie bei seinen bevorzugten Sportarten Tennis und Golf gehe es auch beim Pokern oft um Alles oder Nichts, sagte Becker der Nachrichtenagentur dpa. Berlin (dpa) - Ex-Tennisprofi Boris Becker (43) ist auf der Suche nach dem Adrenalin-Kick - auch beim Poker. Wie bei seinen bevorzugten Sportarten Tennis und Golf gehe es auch beim Pokern oft um Alles oder Nichts, sagte Becker der Nachrichtenagentur dpa. Er spielt bei Deutschlands größtem Pokerturnier in Berlin mit. Außerdem wirbt Becker für den Turnierveranstalter. «Es gibt besondere Situationen, wo das Adrenalin kommt und wo es um den nächsten Schlag, das nächste Ass, den nächsten Putt geht. Und der ist dann entscheidend.»","linking.linkers.FOXLinker"
"0.6666666666666666","0.0","0.0","0.0","0.0","0","[0]","BP muss erstmals Jahresverlust verkünden. Der britische Energiekonzern BP hat wegen Ölkatastrophe im Golf von Mexiko erstmals in seiner Firmengeschichte in einem vollen Geschäftsjahr Verlust gemacht. Unter dem Strich stand für 2010 ein Minus von 4,9 Milliarden US-Dollar (3,6 Mrd Euro). London (dpa) - Der britische Energiekonzern BP hat wegen Ölkatastrophe im Golf von Mexiko erstmals in seiner Firmengeschichte in einem vollen Geschäftsjahr Verlust gemacht. Unter dem Strich stand für 2010 ein Minus von 4,9 Milliarden US-Dollar (3,6 Mrd Euro). Das teilte BP am Dienstag in London mit. 2009 hatte BP noch 13,96 Milliarden Dollar Gewinn gemacht. «2010 wird zurecht als Jahr des tragischen Unfalls und des ausgelaufenen Öls in Erinnerung bleiben», sagte Konzernchef Bob Dudley. BP sei deshalb ein Unternehmen im Wandel. Er kündigte für 2011 «ein Jahr der Erholung und der Konsolidierung» an. Es werde aber auch wieder vierteljährliche Dividenden für die Aktionäre geben, sagte er.BP kündigte an, die Kosten für das Öldesaster im Golf von Mexiko werden sich insgesamt auf 41 Milliarden US-Dollar belaufen. Im April vergangenen Jahres waren bei der Explosion der Plattform Deepwater Horizon elf Menschen ums Leben gekommen.","linking.linkers.FOXLinker"
"0.0","0.0","0.0","0.0","0.0","0","[0, 1, 2, 3, 4]"," BP bekommt die Ölpest im Golf von Mexiko Der britische Ölkonzern BP muss einen neuen Anlauf gegen die Ölpest im Golf von Mexiko nehmen. Der Versuch, auslaufendes Öl aus 1500 Metern Tiefe durch ein Rohr zu einem Schiff an der Meeresoberfläche zu leiten, scheiterte. Nach technischen Problemen wurde der Versuch abgebrochen, sagte BP-Manager Doug Suttles. Ein Metallrahmen an dem Rohr habe sich verzogen. In der Nacht zum Sonntag (Ortszeit) würde der Versuch wiederholt. BP In der Zwischenzeit setze das Unternehmen verstärkt auf den Einsatz von Chemikalien in der Nähe des Meeresbodens, sagte Suttles. «Es scheint, dass diese chemischen Verteiler funktionieren. Durch sie gelangt viel weniger Öl an die Meeresoberfläche als zuvor.» Das Mittel zersetze das Öl, damit es natürlich im Meer abgebaut werden könne. Die US-Umweltbehörde hatte den Einsatz nach zahlreichen Untersuchungen zugelassen. Bisher durfte BP US-Innenminster Ken Salazar kündigte an, am Sonntagnachmittag werde auf höchster Regierungsebene über das weitere Vorgehen am Golf von Mexiko entschieden. Er und Heimatschutzministerin Janet Napolitano forderten BP-Chef Tony Hayward in einem Brief auf, der Öffentlichkeit zu versichern, dass der Konzern alle Kosten und Schadensersatzforderungen bezahlen werde - auch wenn diese über die gesetzliche Grenze von 75 Millionen Dollar hinausgehen.
","NONE"
"0.0","0.0","0.0","0.0","0.0","0","[0, 1, 2, 3, 4]","Der Ölteppich wird kleiner.  Sturmtief «Bonnie» hat nicht noch mehr Schaden angerichtet: Im Golf von Mexiko  scheint der Ölteppich langsam zu schrumpfen. Das bestätigte nun die Einsatzleitung. Es werde aber noch mehrere Tage dauern, bis die Parallelbohrungen fortgesetzt werden können.  Lichtblick im Kampf gegen die Ölpest: Der Ölteppich im Golf von Mexiko  ist nach Angaben der Einsatzleitung deutlich kleiner geworden.  Etwa zehn Tage, nachdem BP die defekte Quelle in 1500 Meter Tiefe mit einer provisorischen Kappe abdichtete, verschwinde das Öl zunehmend von der Meeresoberfläche, sagte Konteradmiral Paul Zukunft  nach einem Bericht des Fernsehsenders CNN.  Bei einem sechsstündigen Rundflug über die Unglücksstelle habe er nur noch an einer Stelle einen größeren Ölteppich gesehen, rund 20 Kilometer vor der Küste Louisianas , sagte Zukunft. Die Ausläufer des Sturmtiefs «Bonnie», das den Kampf gegen die Ölpest für mehrere Tage unterbrochen hatte, hätten keinen bedeutenden Schaden angerichtet. Wegen des nahenden Sturms hatten am Freitag fast alle Schiffe und Plattformen die Unglücksregion verlassen - sie konnten nach einer Entwarnung am Sonntag zurückkehren.  Allerdings habe die Sturm-Ankündigung die Entlastungsbohrungen zum Ursprung der Quelle rund vier Kilometer unter dem Meeresboden deutlich verzögert. Es werde noch mehrere Tage dauern, bis die Arbeiten fortgesetzt werden könnten, teilte BP mit. Der britische Konzern will die Ölquelle mit Hilfe der Parallelbohrungen endgültig verschließen. Ursprünglich sollte bereits in diesen Tagen damit begonnen werden, Schlamm und Zement durch eine der neuen Leitungen zu pumpen.  Nach dem Untergang der BP-Bohrinsel «Deepwater Horizon» am 22. April waren laut einer US-Schätzung bis zu 700 000 Tonnen Öl ins Meer geströmt. Noch immer sind nach Angaben der Einsatzleitung mehr als 1000 Kilometer Küste in den Bundesstaaten Louisiana, Mississippi, Alabama und Florida verseucht. ","NONE"
"0.6538461538461539","0.0","0.024691358024691357","0.0","0.0","0","[0]","Kaymer locker in Runde zwei - Aus für Woods. Golfprofi Martin Kaymer hat bei der Match Play Championship problemlos die zweite Runde erreicht, Superstar Tiger Woods ist hingegen schon draußen. Der 26-Jährige aus Mettmann setzte sich in Marana im US-Bundesstaat Arizona im direkten Duell gegen den Koreaner Seung-Yul Noh durch. Marana (dpa) - Golfprofi Martin Kaymer hat bei der Match Play Championship problemlos die zweite Runde erreicht, Superstar Tiger Woods ist hingegen schon draußen. Der 26-Jährige aus Mettmann setzte sich in Marana im US-Bundesstaat Arizona im direkten Duell gegen den Koreaner Seung-Yul Noh durch.Woods kassierte hingegen eine bittere Auftaktniederlage am ersten Extra-Loch gegen den Dänen Thomas Björn. «Enttäuschend, sehr enttäuschend», meinte der frühere Weltranglisten-Erste aus den USA, der das Turnier dreimal gewonnen hatte. Auch der Engländer Ian Poulter, Titelverteidiger im Ritz-Carlton Golf Club, gehörte zu den Verlierern der ersten Runde: Er unterlag im Duell der Ryder Cup-Spieler dem Amerikaner Stewart Cink. Der Weltranglisten-Zweite Kaymer hatte gegen den zunächst nervösen 18 Jahre alten Noh keine Probleme und landete einen 7 auf 6-Kantersieg. Nächster Gegner ist der Engländer Justin Rose.Weiter ist auch Branchenprimus Lee Westwood (dpa) nach einem Erfolg gegen den Schweden Henrik Stenson. Für eine Überraschung sorgte der erst 17 Jahre Italiener Matteo Manassero, der gegen Mitfavorit Steve Stricker (USA) gewann und damit zum jüngste Rundensieger bei der Match Play Championship avancierte.","linking.linkers.FOXLinker"
"0.6666666666666666","0.0","0.0","0.0","0.0","0","[0]","Üben... Martin Kaymer bereitet sich im Augusta National Golf Club mit einer Übungsrunde auf das Masters vor. Der Weltranglisten-Erste aus Mettmann will bei dem Traditionsturnier für Furore sorgen. Foto: John G. Mabanglo. Martin Kaymer bereitet sich im Augusta National Golf Club mit einer Übungsrunde auf das Masters vor. Der Weltranglisten-Erste aus Mettmann will bei dem Traditionsturnier für Furore sorgen. Foto: John G. Mabanglo.","linking.linkers.FOXLinker"
